GEN,BEZ,AGS,Fälle Gestern bis 00Uhr,Änderungsrate (24 Std. bis 19.04 00:00),Fälle Heute bis 00Uhr,CV-Fälle Tagespiegel Verifizierung,Quelle 1,Gestrige Quellen,Zeit,Bestätigte GESAMTZAHL der Infektionsfälle (Crowdsourced),Genesen,Quarantäne,Stationär,Intensiv,Todesfälle,"Zeit (Datum, Uhrzeit) ","Quelle (Sollte nur Landesamt, Gesundheitsamt oder offiziell sein)",Contributor,NEU,"Bemerkungen (Anzahl, Uhrzeit) - MUSS EINGEBEN WENN ""GEPRÜFT"" - C=Fälle, G=Genesen, D=Todesfälle",Geprüft (1),Geprüft (2) Berechtigte,Zwischenstand Geprüft,IFSG Spalte,Genesen (verifiziert),Coronavirus Fälle heute (verifiziert),Coronavirus Todesfälle (verifiziert),"Quarantäne 
verifiziert",Todesfälle (COVID-19),Tests,Negativ Tests,Datum,Contributor.1,TWITTER,FACEBOOK/INSTAGRAM,Geschätzt,Geschätzt.1,Sicherung - Genesen,Sicherung - Todesfälle,Sicherung - Zeit,Sicherung - Bundesland,Sicherung - Post-Check,Geschätzt.2
Schwalm-Eder-Kreis,Landkreis,6634,447.0,1%,451,,https://www.schwalm-eder-kreis.de/Aktuelles/Aktuelle-Informationen-zum-neuartigen-Coronavirus-Covid-19/Aktuelle-Zahlen-Schwalm-Eder.htm?,https://www.schwalm-eder-kreis.de/Aktuelles/Aktuelle-Informationen-zum-neuartigen-Coronavirus-Covid-19/Aktuelle-Zahlen-Schwalm-Eder.htm?,24/04/2020 15:00, 451,274.0,,,,29.0,24.04.2020 15:00,https://www.schwalm-eder-kreis.de/Aktuelles/Aktuelle-Informationen-zum-neuartigen-Coronavirus-Covid-19/Aktuelle-Zahlen-Schwalm-Eder.htm?,@mittedeathsquad, 4,C451 G274 D29 21:26,Maria,Johannes,1,,274.0,442,29.0,,,,,,,,,12.0,313,263.0,29.0,23/04/2020,6,1.0,https://www.schwalm-eder-kreis.de/Aktuelles/Aktuelle-Informationen-zum-neuartigen-Coronavirus-Covid-19/Aktuelle-Zahlen-Schwalm-Eder.htm?
Vogelsbergkreis,Landkreis,6535,117.0,2%,119,,https://www.vogelsbergkreis.de/kreisverwaltung/presse.html,https://www.vogelsbergkreis.de/kreisverwaltung/presse/ansicht.html?tx_ttnews%5Btt_news%5D=8640&cHash=3507b04670a9e227d4272fc7df13002f,24/04/2020 00:00, 119,88.0, 5,2.0,,5.0,24/04/2020,https://www.oberhessen-live.de/2020/04/24/zwei-neuinfektionen-fuenf-weitere-genesene/,@Colonia Claudia, 2,C119 G88 D5 21:24,Maria,Johannes,1,,88.0,117,5.0,5.0,,,,,,,https://www.facebook.com/vogelsbergkreis/,2.0,91,83.0,5.0,23/04/2020,6,1.0,https://www.vogelsbergkreis.de/kreisverwaltung/presse/ansicht.html?tx_ttnews%5Btt_news%5D=8640&cHash=3507b04670a9e227d4272fc7df13002f
Waldeck-Frankenberg,Landkreis,6635,142.0,1%,143,,https://soziales.hessen.de/gesundheit/infektionsschutz/coronavirus-sars-cov-2/taegliche-uebersicht-der-bestaetigten-sars-cov-2-faelle-hessen,https://soziales.hessen.de/gesundheit/infektionsschutz/corona-hessen/taegliche-uebersicht-der-bestaetigten-sars-cov-2-faelle-hessen,24/04/2020 14:00, 143,,,,,3.0,24.04.2020 14:00,https://soziales.hessen.de/gesundheit/infektionsschutz/corona-hessen/taegliche-uebersicht-der-bestaetigten-sars-cov-2-faelle-hessen,@Elvte_76, 1,C143 D3 21:15,Maria,Johannes,1,,,138,3.0,,,,,,,,https://www.facebook.com/landkreiswafkb,1.0,102,,3.0,23/04/2020 14:00,6,1.0,https://soziales.hessen.de/gesundheit/infektionsschutz/corona-hessen/taegliche-uebersicht-der-bestaetigten-sars-cov-2-faelle-hessen
Werra-Meißner-Kreis,Landkreis,6636,157.0,6%,167,162.0,https://www.werra-meissner-kreis.de/fachbereiche-einrichtungen/stab-verwaltungsleitung-und-steuerung/presse-und-oeffentlichkeitsarbeit-buergerreferat-kultur-und-kreisarchiv/presse-und-oeffentlichkeitsarbeit/pressemitteilungen,https://www.werra-meissner-kreis.de/fachbereiche-einrichtungen/stab-verwaltungsleitung-und-steuerung/presse-und-oeffentlichkeitsarbeit-buergerreferat-kultur-und-kreisarchiv/presse-und-oeffentlichkeitsarbeit/pressemitteilungen/einzelansicht/corona-virus-45-genesene-133-bestaetigte-faelle-7-verstorbene,24/04/2020 00:00, 167,70.0, 250,17.0,2.0,9.0,24.04.2020,https://soziales.hessen.de/gesundheit/infektionsschutz/corona-hessen/taegliche-uebersicht-der-bestaetigten-sars-cov-2-faelle-hessen,@distanzreiter, 10,C167 21:15 G70 Q250 S17 I2 D9,Maria,Johannes,1,,70.0,133,9.0,120.0,,,,,,,,,47,48.0,8.0,23/04/2020 00:00,6,1.0,https://www.werra-meissner-kreis.de/fachbereiche-einrichtungen/stab-verwaltungsleitung-und-steuerung/presse-und-oeffentlichkeitsarbeit-buergerreferat-kultur-und-kreisarchiv/presse-und-oeffentlichkeitsarbeit/pressemitteilungen/einzelansicht/corona-virus-45-genesene-133-bestaetigte-faelle-7-verstorbene
Wetteraukreis,Landkreis,6440,258.0,0%,258,,https://www.wetteraukreis.de/aktuelles/corona/pressemitteilungen-zu-corona-virus/?no_cache=1,https://soziales.hessen.de/gesundheit/infektionsschutz/corona-hessen/taegliche-uebersicht-der-bestaetigten-sars-cov-2-faelle-hessen,23/04/2020 00:00, 258,149.0,,40.0,8.0,11.0,23.04.2020,https://www.wetteraukreis.de/aktuelles/corona/pressemitteilungen-zu-corona-virus/?no_cache=1,NichtsNeues,0,Zahl vom LK von gestern höher als die vom Landesmin. heute,Maria,Johannes,1,,149.0,250,11.0,,,,,,,,https://www.facebook.com/wetterau.de/,1.0,167,149.0,11.0,23.04.2020,6,1.0,https://soziales.hessen.de/gesundheit/infektionsschutz/corona-hessen/taegliche-uebersicht-der-bestaetigten-sars-cov-2-faelle-hessen
Wiesbaden,Kreisfreie Stadt,6414,293.0,0%,294,,https://www.wiesbaden.de/leben-in-wiesbaden/gesundheit/gesundheitsfoerderung/infos-coronavirus_start.php,https://www.wiesbaden.de/leben-in-wiesbaden/gesundheit/gesundheitsfoerderung/infos-coronavirus_start.php,24/04/2020 13:45, 294,231.0,,,,10.0,24.04.2020 13:45,https://www.wiesbaden.de/leben-in-wiesbaden/gesundheit/gesundheitsfoerderung/infos-coronavirus_start.php,@mittedeathsquad, 1,C294 G231 D10 21:18,Maria,Johannes,1,,231.0,290,10.0,,,,,,,https://twitter.com/stadt_wiesbaden,,5.0,229,222.0,9.0,22/04/2020,6,1.0,https://www.wiesbaden.de/leben-in-wiesbaden/gesundheit/gesundheitsfoerderung/infos-coronavirus_start.php
Ahrweiler,Landkreis,7131,118.0,0%,118,,https://www.kreis-ahrweiler.de/textR.php?id=1411,https://www.kreis-ahrweiler.de/presse.php?lfdnrp=9152,23/04/2020 00:00, 118,98.0, 43,,,1.0,24/04/2020,https://www.kreis-ahrweiler.de/presse.php?lfdnrp=9158,@Elvte_76,0,,,,0,,98.0,116,1.0,247.0,,,,,,,,1.0,103,98.0,1.0,23/04/2020 00:00,7,1.0,https://www.kreis-ahrweiler.de/presse.php?lfdnrp=9152
Altenkirchen (Westerwald),Landkreis,7132,137.0,0%,137,,"https://www.kreis-altenkirchen.de/INTERNET/B%C3%BCrgerservice/Aktuelles/Corona-Pandemie-Aktuelle-Informationen-der-Kreisverwaltung.php?object=tx,2154.7.1&ModID=7&FID=2333.4911.1&NavID=2154.12&La=1",https://www.ak-kurier.de/akkurier/www/artikel/89769-zahl-der-corona-infizierten-steigt-wieder---77-menschen-geheilt,23/04/2020 00:00, 138,87.0,,5.0,,8.0,24/04/2020,https://www.ak-kurier.de/akkurier/www/artikel/89829-corona-pandemie--sechs-bewohner-des-st--vinzenzhauses-geheilt,@Elvte_76, 1,,,,0,,78.0,134,8.0,,,,,,,,,1.0,74,78.0,8.0,23/04/2020,7,1.0,https://www.ak-kurier.de/akkurier/www/artikel/89769-zahl-der-corona-infizierten-steigt-wieder---77-menschen-geheilt
Alzey-Worms,Landkreis,7331,180.0,0%,180,,https://www.kreis-alzey-worms.eu/verwaltung/aktuelles/corona-virus.php,https://www.facebook.com/kreisverwaltungalzeyworms/photos/a.312409209448407/530412160981443/?type=3&theater,23/04/2020 00:00, 184,90.0,,11.0,,4.0,24/04/2020,https://www.facebook.com/kreisverwaltungalzeyworms/?hc_ref=ARTCapdZzsHRamVj8HY3LGXIpijFhWPzCY0gzETK0FH1zXqWVL5KbI-Cfl07nca664w&fref=nf&__tn__=kC-R,@bandur, 4,,,,0,,90.0,177,4.0,,,,,,,,https://www.facebook.com/kreisverwaltungalzeyworms/,1.0,120,90.0,4.0,23/04/2020,7,1.0,https://www.facebook.com/kreisverwaltungalzeyworms/photos/a.312409209448407/530412160981443/?type=3&theater
Bad Dürkheim,Landkreis,7332,309.0,0%,309,,https://www.kreis-bad-duerkheim.de/kv_bad_duerkheim/Aktuelles/Aktuelles%20%C3%9Cbersicht/Informationen%20zu%20Corona-Virustyp%20COVID%2019/,https://www.kreis-bad-duerkheim.de/kv_bad_duerkheim/Aktuelles/Aktuelles%20%C3%9Cbersicht/Informationen%20zu%20Corona-Virustyp%20COVID%2019/,23/04/2020 10:30, 309,212.0,,,,9.0,24.04.2020 11:00,https://www.kreis-bad-duerkheim.de/kv_bad_duerkheim/Aktuelles/Aktuelles%20%C3%9Cbersicht/Informationen%20zu%20Corona-Virustyp%20COVID%2019/,@mittedeathsquad,0,,,,0,,203.0,307,9.0,,,,,,,,,4.0,234,203.0,9.0,23.04.2020 10:30,7,1.0,https://www.kreis-bad-duerkheim.de/kv_bad_duerkheim/Aktuelles/Aktuelles%20%C3%9Cbersicht/Informationen%20zu%20Corona-Virustyp%20COVID%2019/
Bad Kreuznach,Landkreis,7133,183.0,2%,186,186.0,https://www.kreis-badkreuznach.de/kreisverwaltung/organisation/amt-7-gesundheitsamt/coronavirus/aktuellste-meldung-aus-dem-landkreis/,https://www.kreis-badkreuznach.de/fileadmin/media/user_upload/PressemitteilungKVCoronaupdate220420.pdf,24/04/2020 14:30, 186,84.0, 99,12.0,,3.0,24.04.2020 14:30,https://www.kreis-badkreuznach.de/kreisverwaltung/organisation/amt-7-gesundheitsamt/coronavirus/aktuellste-meldung-aus-dem-landkreis/,@mittedeathsquad, 3,186 C 84 G 3 d Checked 17:34,@jonasfbb,Stain Fels,1,,84.0,181,3.0,104.0,,,,,,,,1.0,144,84.0,2.0,23/04/2020 14:30,7,1.0,https://www.kreis-badkreuznach.de/fileadmin/media/user_upload/PressemitteilungKVCoronaupdate220420.pdf
Bernkastel-Wittlich,Landkreis,7231,126.0,0%,126,,https://www.bernkastel-wittlich.de/aktuelles/,https://www.bernkastel-wittlich.de/aktuelles/details/news/weitere-covid-19-faelle-im-landkreis-bernkastel-wittlich-1/,23/04/2020 00:00, 126,97.0,,6.0,3.0,2.0,24.04.2020 17:00,https://experience.arcgis.com/experience/c015c181530e4bd2b44b51f0eea4558b/,@Elvte_76,0,,,,0,,94.0,123,1.0,,,,,,,,,,98,94.0,1.0,23/04/2020 00:00,7,1.0,https://www.bernkastel-wittlich.de/aktuelles/details/news/weitere-covid-19-faelle-im-landkreis-bernkastel-wittlich-1/
Birkenfeld,Landkreis,7134,83.0,0%,83,,http://www.landkreis-birkenfeld.de/city_info/webaccessibility/index.cfm?region_id=310&waid=573,http://www.landkreis-birkenfeld.de/city_info/webaccessibility/index.cfm?waid=574&modul_id=2&record_id=110030,23/04/2020 00:00, 84,54.0, 119,9.0,1.0,,24/04/2020,http://www.landkreis-birkenfeld.de/city_info/webaccessibility/index.cfm?waid=574&modul_id=2&record_id=110080,@distanzreiter, 1,,,,0,,49.0,81,,200.0,,,,,,,,,57,49.0,,23/04/2020 00:00,7,1.0,http://www.landkreis-birkenfeld.de/city_info/webaccessibility/index.cfm?waid=574&modul_id=2&record_id=110030
Cochem-Zell,Landkreis,7135,127.0,0%,127,,https://www.cochem-zell.de/kv_cochem_zell/Unsere%20Themen/Gesundheitsamt/Coronafallzahlen%20im%20Landkreis%20Cochem-Zell/,https://www.cochem-zell.de/kv_cochem_zell/Unsere%20Themen/Gesundheitsamt/Coronafallzahlen%20im%20Landkreis%20Cochem-Zell/,23/04/2020 00:00, 127,113.0,,,,1.0,24.04.2020 18:00,https://www.cochem-zell.de/kv_cochem_zell/Unsere%20Themen/Gesundheitsamt/Coronafallzahlen%20im%20Landkreis%20Cochem-Zell/,@Elvte_76,0,,,,0,,113.0,127,1.0,,,,,,,,,,122,113.0,1.0,23/04/2020,7,0.0,https://www.cochem-zell.de/kv_cochem_zell/Unsere%20Themen/Gesundheitsamt/Coronafallzahlen%20im%20Landkreis%20Cochem-Zell/
Donnersbergkreis,Landkreis,7333,112.0,0%,112,,https://www.donnersberg.de/donnersbergkreis/Aktuelles/Aktuelles%20aus%20dem%20Kreishaus/2020/M%C3%A4rz/Gesundheitsamt%20Aktuell%3A%20SARS-CoV-2%20-%2017.%20M%C3%A4rz/,https://www.donnersberg.de/donnersbergkreis/Aktuelles/Aktuelles%20aus%20dem%20Kreishaus/2020/M%C3%A4rz/Gesundheitsamt%20Aktuell%3A%20SARS-CoV-2%20-%2017.%20M%C3%A4rz/,23/04/2020 09:00, 114,78.0,,6.0,,3.0,24/04/2020 08:30,https://www.donnersberg.de/donnersbergkreis/Aktuelles/Aktuelles%20aus%20dem%20Kreishaus/2020/M%C3%A4rz/Gesundheitsamt%20Aktuell%3A%20SARS-CoV-2%20-%2017.%20M%C3%A4rz/,@Elvte_76, 2,,,,0,,71.0,112,3.0,,,,,,,,,1.0,78,71.0,3.0,23.04.2020 09:00,7,1.0,https://www.donnersberg.de/donnersbergkreis/Aktuelles/Aktuelles%20aus%20dem%20Kreishaus/2020/M%C3%A4rz/Gesundheitsamt%20Aktuell%3A%20SARS-CoV-2%20-%2017.%20M%C3%A4rz/
Eifelkreis Bitburg-Prüm,Landkreis,7232,162.0,0%,162,,https://www.bitburg-pruem.de/cms/aktuell/pressemitteilungen,https://www.bitburg-pruem.de/cms/aktuell/pressemitteilungen/2530-corona-fallzahlen-im-eifelkreis-ergebnisse-22-04-2020,23/04/2020 16:30, 165,126.0,,,,3.0,24/04/2020 16:00,https://corona-eifelkreis.jimdofree.com/,@bandur, 3,,,,0,,123.0,161,3.0,,,,,,,,,2.0,129,123.0,3.0,23/04/2020 16:30,7,1.0,https://www.bitburg-pruem.de/cms/aktuell/pressemitteilungen/2530-corona-fallzahlen-im-eifelkreis-ergebnisse-22-04-2020
Frankenthal (Pfalz),Kreisfreie Stadt,7311,38.0,0%,38,,https://www.rhein-pfalz-kreis.de/kv_rpk/Coronavirus/Fallzahlen/,https://www.rhein-pfalz-kreis.de/kv_rpk/Coronavirus/Fallzahlen/,23/04/2020 15:00, 38,26.0, 19,2.0,,2.0,24/04/2020,https://www.rhein-pfalz-kreis.de/kv_rpk/Coronavirus/Fallzahlen/,@Colonia Claudia,0,,,,0,,26.0,38,2.0,,,,,,,,,,31,26.0,2.0,23/04/2020,7,0.0,https://www.rhein-pfalz-kreis.de/kv_rpk/Coronavirus/Fallzahlen/
Germersheim,Landkreis,7334,140.0,0%,140,,https://www.kreis-germersheim.de/kv_germersheim/Kreisverwaltung/Coronavirus%20(SARS-CoV-2)/Coronavirus%20(COVID-19)/,"https://www.kreis-germersheim.de/kv_germersheim/Unsere%20Themen/Pressemitteilungen/2020/Aktuell%2043%20best%C3%A4tigte%20positive%20F%C3%A4lle%20im%20Landkreis%20Germersheim%20(22.%20April%202020,%20Stand%2015%20Uhr)/",23/04/2020 00:00, 140,94.0,,,,3.0,24/04/2020,"https://www.kreis-germersheim.de/kv_germersheim/Unsere%20Themen/Pressemitteilungen/2020/Aktuell%2043%20best%C3%A4tigte%20positive%20F%C3%A4lle%20im%20Landkreis%20Germersheim%20(24.%20April%202020,%20Stand%2013%20Uhr)/",@Colonia Claudia,0,,,,0,,93.0,139,3.0,,,,,,,,,1.0,107,93.0,3.0,23.04.2020,7,1.0,"https://www.kreis-germersheim.de/kv_germersheim/Unsere%20Themen/Pressemitteilungen/2020/Aktuell%2043%20best%C3%A4tigte%20positive%20F%C3%A4lle%20im%20Landkreis%20Germersheim%20(22.%20April%202020,%20Stand%2015%20Uhr)/"
Kaiserslautern,Kreisfreie Stadt,7312,103.0,0%,103,,https://www.kaiserslautern-kreis.de/no_cache/home.html,https://www.kaiserslautern-kreis.de/no_cache/home.html,23/04/2020 20:00, 103,56.0,,,,3.0,24/04/2020,https://www.kaiserslautern-kreis.de/no_cache/home.html,@Colonia Claudia,0,,,,0,,54.0,103,3.0,,,,,,,,,1.0,78,54.0,3.0,23/04/2020 20:00,7,0.0,https://www.kaiserslautern-kreis.de/no_cache/home.html
Kaiserslautern,Landkreis,7335,100.0,0%,100,,https://www.kaiserslautern-kreis.de/no_cache/home.html,https://www.kaiserslautern-kreis.de/no_cache/home.html,23/04/2020 20:00, 101,74.0,,,,0.0,24/04/2020,https://www.kaiserslautern-kreis.de/no_cache/home.html,@Colonia Claudia, 1,,,,0,,72.0,100,0.0,,,,,,,,,,87,72.0,0.0,23/04/2020 20:00,7,1.0,https://www.kaiserslautern-kreis.de/no_cache/home.html
Koblenz,Kreisfreie Stadt,7111,246.0,1%,248,248.0,https://www.kvmyk.de/kv_myk/,https://www.kvmyk.de/kv_myk/Aktuelles/Pressemeldungen%202020/5%20neue%20Coronaf%C3%A4lle%20im%20Kreis%20MYK%20und%20der%20Stadt%20Koblenz%2022.4./,24/04/2020 09:00, 248,174.0,,,,12.0,24/04/2020 09:00,https://www.kvmyk.de/kv_myk/Aktuelles/Pressemeldungen%202020/Zwei%20neue%20Coronaf%C3%A4lle%20im%20Kreis%20MYK%20und%20der%20Stadt%20Koblenz/,@distanzreiter, 2,248 C 174 G 12 D Checked 12:44,@jonasfbb,Stain Fels,1,,174.0,246,12.0,,,,,,,,,7.0,201,171.0,12.0,23.04.2020 09:30,7,1.0,https://www.kvmyk.de/kv_myk/Aktuelles/Pressemeldungen%202020/5%20neue%20Coronaf%C3%A4lle%20im%20Kreis%20MYK%20und%20der%20Stadt%20Koblenz%2022.4./
Kusel,Landkreis,7336,85.0,0%,85,,https://landkreis-kusel.de/aktuelles/coronavirus-wichtige-hinweise-und-aktuelle-informationen/aktuelle-informationen/fallzahlen-landkreis-kusel.html,https://landkreis-kusel.de/aktuelles/coronavirus-wichtige-hinweise-und-aktuelle-informationen/aktuelle-informationen/fallzahlen-landkreis-kusel.html,23/04/2020 16:00, 87,67.0, 19,,,1.0,24/04/2020 16:00,https://landkreis-kusel.de/aktuelles/coronavirus-wichtige-hinweise-und-aktuelle-informationen/aktuelle-informationen/fallzahlen-landkreis-kusel.html,@bandur, 2,,,,0,,67.0,85,1.0,19.0,,,,,,,,,69,67.0,1.0,23.04.2020 16:00,7,1.0,https://landkreis-kusel.de/aktuelles/coronavirus-wichtige-hinweise-und-aktuelle-informationen/aktuelle-informationen/fallzahlen-landkreis-kusel.html
Landau in der Pfalz,Kreisfreie Stadt,7313,71.0,0%,71,,https://www.suedliche-weinstrasse.de/de/aktuelles/meldungen/infos_corona_virus.php,https://www.suedliche-weinstrasse.de/de/aktuelles/meldungen/infos_corona_virus.php,23/04/2020 14:00, 71,57.0,,,,0.0,24/04/2020,https://www.wochenblatt-reporter.de/landau/c-lokales/keine-neuen-faelle_a192670,@Colonia Claudia,0,,,,0,,55.0,70,0.0,,,,,,,,,,55,55.0,0.0,23/04/2020,7,1.0,https://www.pfalz-express.de/coronavirus-neue-und-gesundete-faelle-im-landkreis-suedliche-weinstrasse-und-der-stadt-landau-am-22-april/
Ludwigshafen am Rhein,Kreisfreie Stadt,7314,261.0,0%,261,,https://www.ludwigshafen.de/buergernah/buergerservice/informationen-zum-coronavirus/informationen-des-gesundheitsamts-des-rhein-pfalz-kreises/,https://www.rhein-pfalz-kreis.de/kv_rpk/Coronavirus/Fallzahlen/,23/04/2020 15:00, 262,133.0, 202,,,1.0,24/04/2020,https://www.rhein-pfalz-kreis.de/kv_rpk/Coronavirus/Fallzahlen/,@Colonia Claudia, 1,,,,0,,133.0,257,1.0,,,,,,,,,1.0,149,133.0,1.0,23/04/2020,7,1.0,https://www.rhein-pfalz-kreis.de/kv_rpk/Coronavirus/Fallzahlen/
Mainz,Kreisfreie Stadt,7315,464.0,2%,472,472.0,https://mainz.de/verwaltung-und-politik/buergerservice-online/schutz-gegen-corona-infektionen.php,https://www.mainz-bingen.de/de/aktuelles/meldungen/2768889912.php,24/04/2020 00:00, 472,,,,,16.0,24/04/2020,https://www.mainz-bingen.de/de/aktuelles/meldungen/2860451955.php,@Colonia Claudia, 8,Genesen SK+LK 555 472 C 16 D Checked 16:10,@jonasfbb,Stain Fels,1,,,447,16.0,,,,,,,,,1.0,301,289.0,15.0,23/04/2020,7,1.0,https://www.mainz-bingen.de/de/aktuelles/meldungen/2768889912.php
Mainz-Bingen,Landkreis,7339,362.0,2%,369,369.0,https://www.mainz-bingen.de/de/,https://www.mainz-bingen.de/de/aktuelles/meldungen/2768889912.php,24/04/2020 00:00, 369,,,,,11.0,24/04/2020,https://www.mainz-bingen.de/de/aktuelles/meldungen/2860451955.php,@Colonia Claudia, 7,Genesen SK+LK 555 369 C 11 D Checked 16:10,@jonasfbb,Stain Fels,1,,,350,11.0,,,,,,,,,3.0,242,250.0,11.0,23.04.2020,7,1.0,https://www.mainz-bingen.de/de/aktuelles/meldungen/2768889912.php
Mayen-Koblenz,Landkreis,7137,327.0,0%,327,,https://www.kvmyk.de/kv_myk/,https://www.kvmyk.de/kv_myk/Aktuelles/Pressemeldungen%202020/5%20neue%20Coronaf%C3%A4lle%20im%20Kreis%20MYK%20und%20der%20Stadt%20Koblenz%2022.4./,23/04/2020 09:30, 327,258.0,,,,9.0,24/04/2020 09:00,https://www.kvmyk.de/kv_myk/Aktuelles/Pressemeldungen%202020/Zwei%20neue%20Coronaf%C3%A4lle%20im%20Kreis%20MYK%20und%20der%20Stadt%20Koblenz/,@distanzreiter,0,,,,0,,256.0,327,9.0,,,,,,,,,3.0,283,256.0,9.0,23.04.2020 09:30,7,0.0,https://www.kvmyk.de/kv_myk/Aktuelles/Pressemeldungen%202020/5%20neue%20Coronaf%C3%A4lle%20im%20Kreis%20MYK%20und%20der%20Stadt%20Koblenz%2022.4./
Neustadt an der Weinstraße,Kreisfreie Stadt,7316,92.0,0%,92,,https://www.kreis-bad-duerkheim.de/kv_bad_duerkheim/Aktuelles/Aktuelles%20%C3%9Cbersicht/Informationen%20zu%20Corona-Virustyp%20COVID%2019/,https://www.kreis-bad-duerkheim.de/kv_bad_duerkheim/Aktuelles/Aktuelles%20%C3%9Cbersicht/Informationen%20zu%20Corona-Virustyp%20COVID%2019/,23/04/2020 10:30, 92,89.0,,,,1.0,24.04.2020 11:00,https://www.kreis-bad-duerkheim.de/kv_bad_duerkheim/Aktuelles/Aktuelles%20%C3%9Cbersicht/Informationen%20zu%20Corona-Virustyp%20COVID%2019/,@mittedeathsquad,0,,,,0,,87.0,90,1.0,,,,,,,,,1.0,79,87.0,1.0,23.04.2020 10:30,7,1.0,https://www.kreis-bad-duerkheim.de/kv_bad_duerkheim/Aktuelles/Aktuelles%20%C3%9Cbersicht/Informationen%20zu%20Corona-Virustyp%20COVID%2019/
Neuwied,Landkreis,7138,206.0,0%,206,,https://www.kreis-neuwied.de/kv_neuwied/Home/Aktuelles/wichtige%20Hinweise%20und%20Informationen/,https://www.kreis-neuwied.de/kv_neuwied/Home/Aktuelles/wichtige%20Hinweise%20und%20Informationen/205%20Corona-F%C3%A4lle%20im%20Kreis%20Neuwied%20-%20Maskenpflicht%20in%20Rheinland-Pfalz/,23/04/2020 22:00, 208,174.0,,,,3.0,24.04.2020,https://www.ak-kurier.de/akkurier/www/artikel/89829-corona-pandemie--sechs-bewohner-des-st--vinzenzhauses-geheilt,@Elvte_76, 2,zahl von gestern? nochmal prüfen,,,0,,161.0,214,3.0,,,,,,,,,2.0,184,161.0,3.0,23/04/2020,7,1.0,https://www.kreis-neuwied.de/kv_neuwied/Home/Aktuelles/wichtige%20Hinweise%20und%20Informationen/205%20Corona-F%C3%A4lle%20im%20Kreis%20Neuwied%20-%20Maskenpflicht%20in%20Rheinland-Pfalz/
Pirmasens,Kreisfreie Stadt,7317,29.0,0%,29,,https://www.lksuedwestpfalz.de/buergerservice/abteilungen/gesundheitswesen/infos-zum-coronavirus/,https://www.lksuedwestpfalz.de/buergerservice/abteilungen/gesundheitswesen/infos-zum-coronavirus/,23/04/2020 11:35, 29,21.0,,,,,24/04/2020 11:40,https://www.lksuedwestpfalz.de/buergerservice/abteilungen/gesundheitswesen/infos-zum-coronavirus/,@mittedeathsquad,0,C29 G21 D 22:30-23:00,James,,0,,21.0,29,,,,,,,,,,,23,21.0,,23.04.2020 11:35,7,0.0,https://www.lksuedwestpfalz.de/buergerservice/abteilungen/gesundheitswesen/infos-zum-coronavirus/
Rhein-Hunsrück-Kreis,Landkreis,7140,159.0,0%,159,,https://www.kreis-sim.de/Aktuelles/Informationen-zum-Coronavirus/,https://www.kreis-sim.de/Aktuelles/Informationen-zum-Coronavirus/,23/04/2020 17:15, 159,119.0,,,,3.0,24/04/2020 13:00,https://kv-rhk.maps.arcgis.com/apps/opsdashboard/index.html#/79698cd31d62452f97d9f76b7e018a61,@Elvte_76,0,,,,0,,118.0,158,3.0,,,,,,,,,,131,118.0,3.0,23.04.2020 17:15,7,1.0,https://www.kreis-sim.de/Aktuelles/Informationen-zum-Coronavirus/
Rhein-Lahn-Kreis,Landkreis,7141,153.0,0%,153,,https://www.rhein-lahn-kreis.de/aktuelles/corona/,https://www.rhein-lahn-kreis.de/aktuelles/corona/corona-zahlen-4-tage-gleich/,23/04/2020 00:00, 153,88.0,,6.0,2.0,4.0,24/04/2020,https://www.rhein-lahn-kreis.de/aktuelles/corona/corona-aktuelle-zahlen-4/,@Elvte_76,0,,,,0,,88.0,153,4.0,,,,,,,,,2.0,122,88.0,4.0,23/04/2020,7,1.0,https://www.rhein-lahn-kreis.de/aktuelles/corona/corona-zahlen-4-tage-gleich/
Rhein-Pfalz-Kreis,Landkreis,7338,203.0,0%,203,,https://www.rhein-pfalz-kreis.de/kv_rpk/Coronavirus/Fallzahlen/,https://www.rhein-pfalz-kreis.de/kv_rpk/Coronavirus/Fallzahlen/,23/04/2020 15:00, 203,145.0, 91,43.0,21.0,3.0,24/04/2020,https://www.rhein-pfalz-kreis.de/kv_rpk/Coronavirus/Fallzahlen/,@Colonia Claudia,0,,,,0,,145.0,201,3.0,,,,,,,,,2.0,167,145.0,3.0,23/04/2020,7,,https://www.rhein-pfalz-kreis.de/kv_rpk/Coronavirus/Fallzahlen/
Speyer,Kreisfreie Stadt,7318,63.0,0%,63,,https://www.speyer.de/sv_speyer/de/Rathaus/Medien-Infos/Aktuelle%20Infos/Aktuelle%20Informationen%20zum%20Coronavirus/,https://www.rhein-pfalz-kreis.de/kv_rpk/Coronavirus/Fallzahlen/,23/04/2020 15:00, 65,39.0, 38,,,,24/04/2020,https://www.rhein-pfalz-kreis.de/kv_rpk/Coronavirus/Fallzahlen/,@Colonia Claudia, 2,,,,0,,39.0,60,,94.0,,,,,,,,,44,39.0,,23/04/2020,7,1.0,https://www.rhein-pfalz-kreis.de/kv_rpk/Coronavirus/Fallzahlen/
